,model_name,model_year,kms_driven,owner,location,mileage,power,price,cc,brand
0,Yamaha SZ-RR 150cc,2012,12000,first owner,delhi,55.0,12 Bhp,28000,150.0,Yamaha
1,Yamaha FZs 150cc,2015,10168,first owner,delhi,45.0,13 bhp,44000,150.0,Yamaha
2,Hero Achiever 150cc,2019,15000,first owner,jaunpur,50.0,13 bhp,48000,150.0,Hero
3,Bajaj Pulsar 220cc,2015,55000,first owner,chittorgarh,38.0,21 bhp,45000,220.0,Bajaj
4,Hero Ignitor 125cc,2014,45000,first owner,hyderabad,55.0,11 bhp,30000,125.0,Hero
5,Hero Karizma R 223cc,2009,33000,first owner,delhi,40.0,17 bhp,18000,223.0,Hero
6,Yamaha FZs 150cc,2012,60000,first owner,delhi,45.0,13 bhp,32000,150.0,Yamaha
7,Hero Passion Pro 100cc Drum Alloy,2018,30000,first owner,chittorgarh,5.0,8.2 Bhp,42000,100.0,Hero
8,Bajaj Pulsar 220cc,2010,38000,second owner,dehradun,38.0,21 bhp,30000,220.0,Bajaj
9,Bajaj Avenger Street 150,2017,9563,second owner,navi mumbai,45.0,14.30 bhp,39000,150.0,Bajaj
10,Hero Passion Pro 100cc,2011,67000,first owner,delhi,5.0,8.2 Bhp,26000,100.0,Hero
11,Hero Passion Pro 100cc,2011,56194,first owner,delhi,5.0,8.2 Bhp,20000,100.0,Hero
12,Yamaha FZs 150cc,2014,27000,second owner,hyderabad,45.0,13 bhp,48500,150.0,Yamaha
13,Yamaha SZ RR V 2.0 150cc,2013,37788,first owner,siliguri,50.0,11.90 bhp,43000,150.0,Yamaha
14,Yamaha YZF-R15 150cc,2008,42821,first owner,mumbai,42.0,16 bhp,42000,150.0,Yamaha
15,Hero Ignitor 125cc,2013,52000,first owner,visakhapatnam,55.0,11 bhp,30000,125.0,Hero
16,Hero HF Deluxe Eco 100cc,2018,7259,first owner,pune,65.0,8.10 bhp,22500,100.0,Hero
17,Bajaj CT 100 100cc,2018,38000,first owner,chittorgarh,89.0,8.10 bhp,45000,100.0,Bajaj
18,Hero Achiever Disc 150cc,2018,48000,first owner,chittorgarh,50.0,13 bhp,48000,150.0,Hero
19,Yamaha FZs 150cc,2014,39000,first owner,pune,45.0,13 bhp,49800,150.0,Yamaha
20,Bajaj Pulsar 150cc,2003,126,first owner,thiruvananthapuram,65.0,15 bhp,24501,150.0,Bajaj
21,Bajaj CT 100 100cc,2016,15745,first owner,bangalore,89.0,8.10 bhp,20180,100.0,Bajaj
22,Hero Karizma R 223cc,2010,65000,first owner,pune,40.0,17 bhp,40000,223.0,Hero
23,Yamaha FZs 150cc,2013,22605,second owner,delhi,45.0,13 bhp,35000,150.0,Yamaha
24,Hero Passion Pro 100cc,2013,23000,first owner,vadodara,5.0,8.2 Bhp,34000,100.0,Hero
25,Hero Passion Pro 100cc,2016,25000,first owner,kurukshetra,5.0,8.2 Bhp,18750,100.0,Hero
26,Hero CBZ Xtreme 150cc,2011,35000,first owner,gurgaon,65.0,14.4PS,25000,150.0,Hero
27,TVS Sport 100cc,2014,15000,first owner,bhagalpur,95.0,7.40 bhp,36000,100.0,TVS
28,Hero Passion Pro 100cc,2014,17700,first owner,hyderabad,5.0,8.2 Bhp,38000,100.0,Hero
29,Bajaj Pulsar 220F,2015,46740,first owner,mumbai,38.0,21 bhp,40000,220.0,Bajaj
30,Hero Karizma ZMR 223cc,2016,25000,first owner,noida,48.0,20 bhp,46992,223.0,Hero
31,Bajaj Discover 125cc,2017,37000,first owner,reasi,65.0,12.5 ps,32250,125.0,Bajaj
32,Mahindra Centuro 110cc,2014,38000,first owner,hyderabad,60.0,8.5 Bhp,33000,110.0,Mahindra
33,Bajaj CT 100 Spoke,2016,28800,first owner,bangalore,67.0,8.10 bhp,39000,100.0,Bajaj
34,Suzuki Gixxer 150cc,2015,39000,first owner,bangalore,63.0,14 bhp,46500,150.0,Suzuki
35,Bajaj Avenger 220cc,2011,39000,first owner,ahmedabad,40.0,19 bhp,27899,220.0,Bajaj
36,TVS Apache RR310,2017,21500,first owner,patna,22.0,33 bhp,35000,310.0,TVS
37,Hero Splendor Plus 100cc,2017,18649,first owner,bathinda,81.0,8.20 bhp,49500,100.0,Hero
38,Bajaj CT 100 100cc,2015,15648,second owner,bathinda,89.0,8.10 bhp,32500,100.0,Bajaj
39,Hero Glamour 125cc,2014,42000,first owner,hyderabad,55.0,8.90 bhp,38000,125.0,Hero
40,Hero Splendor Plus 100cc,2014,52000,first owner,hyderabad,81.0,8.20 bhp,39000,100.0,Hero
41,Bajaj Discover 125cc,2013,40000,first owner,hyderabad,65.0,12.5 ps,32000,125.0,Bajaj
42,Hero Glamour 125cc,2014,46000,first owner,hyderabad,55.0,8.90 bhp,39000,125.0,Hero
43,Bajaj V15 150cc,2016,25300,first owner,bangalore,57.0,11.80 bhp,45000,150.0,Bajaj
44,Yamaha FZs 150cc,2012,47500,first owner,bangalore,45.0,13 bhp,35000,150.0,Yamaha
45,Bajaj Avenger 220cc,2014,25600,first owner,mumbai,40.0,19 bhp,36312,220.0,Bajaj
46,Yamaha FZs 150cc,2013,25500,first owner,jaipur,45.0,13 bhp,35000,150.0,Yamaha
47,Hero Passion Pro 100cc,2014,40000,second owner,ahmedabad,5.0,8.2 Bhp,24910,100.0,Hero
48,Hero Splendor Plus 100cc,2017,14500,first owner,delhi,81.0,8.20 bhp,42500,100.0,Hero
49,Hero HF Deluxe Eco 100cc,2018,7259,first owner,delhi,65.0,8.10 bhp,22500,100.0,Hero
50,Hero New Super Splendor 125cc SX,2019,15500,second owner,bangalore,75.0,9 bhp,35000,125.0,Hero
51,Bajaj Pulsar 180cc,2016,25440,first owner,chennai,65.0,17 bhp,45000,180.0,Bajaj
52,Honda CB Trigger 150cc,2014,23000,first owner,mumbai,60.0,14 bhp,38000,150.0,Honda
53,Suzuki Slingshot Plus 125cc,2016,32568,first owner,bangalore,59.0,8.50 bhp,25700,125.0,Suzuki
54,Honda CBR 150R 150cc,2012,32000,fourth owner or more,navi mumbai,38.0,18.28 bhp,40000,150.0,Honda
55,Suzuki Gixxer 150cc,2015,29000,first owner,mumbai,63.0,14 bhp,41000,150.0,Suzuki
56,Hero HF Deluxe 100cc,2018,11024,first owner,delhi,55.0,6.15kW (8.36 Ps),43000,100.0,Hero
57,Hero Super Splendor 125cc,2008,60000,first owner,pune,75.0,9 bhp,18000,125.0,Hero
58,Bajaj Pulsar 180cc,2010,95000,first owner,delhi,65.0,15 bhp,17000,180.0,Bajaj
59,Hero HF Deluxe 100cc,2014,38000,first owner,hyderabad,83.0,7.70 bhp,38000,100.0,Hero
60,Hero HF Deluxe Self 100cc,2015,23000,first owner,hyderabad,55.0,6.15kW (8.36 Ps),45000,100.0,Hero
61,Bajaj CT 100 100cc,2016,16875,first owner,delhi,89.0,8.10 bhp,26000,100.0,Bajaj
62,Bajaj Discover 125cc,2013,48000,first owner,chittorgarh,65.0,12.5 ps,32000,125.0,Bajaj
63,Suzuki Slingshot 125cc,2011,33693,first owner,ahmedabad,59.0,8.50 bhp,25000,125.0,Suzuki
64,Hero Xtreme 150cc,2013,30000,first owner,chittorgarh,50.0,14.20 bhp,25000,150.0,Hero
65,Hero Xtreme 150cc,2014,20000,first owner,chittorgarh,50.0,14.20 bhp,32000,150.0,Hero
66,Bajaj Pulsar 180cc,2012,35000,second owner,ludhiana,45.0,17 bhp,40000,180.0,Bajaj
67,Hero Ignitor 125cc,2015,15000,first owner,ambala,55.0,11 bhp,27000,125.0,Hero
68,Bajaj CT 100 KS Alloy,2019,10038,first owner,bathinda,67.0,8.10 bhp,48500,100.0,Bajaj
69,Bajaj Avenger 220cc,2014,55000,first owner,ghaziabad,40.0,19 bhp,25000,220.0,Bajaj
70,Hero Super Splendor 125cc,2017,30000,first owner,delhi,75.0,9 bhp,40000,125.0,Hero
71,Bajaj Pulsar 200 NS 200cc,2014,11930,first owner,navi mumbai,40.0,24.2 BHP,43500,200.0,Bajaj
72,Bajaj Pulsar 180cc,2010,22000,first owner,jodhpur,65.0,15 bhp,19300,180.0,Bajaj
73,Bajaj Pulsar 135LS,2010,58000,first owner,jaipur,64.0,13 bhp,15700,135.0,Bajaj
74,Hero Hunk 150cc,2008,28945,first owner,patiala,53.0,14 bhp,21000,150.0,Hero
75,Bajaj V15 150cc,2016,23000,second owner,samana,57.0,11.80 bhp,35000,150.0,Bajaj
76,Bajaj Discover 125cc,2013,19000,first owner,jaipur,65.0,12.5 ps,21000,125.0,Bajaj
77,Hero Passion Pro 100cc,2016,17465,first owner,bangalore,5.0,8.2 Bhp,37462,100.0,Hero
78,Bajaj Pulsar 180cc,2016,89000,third owner,delhi,65.0,17 bhp,35000,180.0,Bajaj
79,Hero Glamour Fi 125cc,2017,25000,first owner,noida,55.0,9 bhp,42000,125.0,Hero
80,Bajaj Avenger 200cc,2008,24000,first owner,delhi,53.0,19 bhp,16000,200.0,Bajaj
81,Bajaj Pulsar 220cc,2012,25000,first owner,delhi,38.0,21 bhp,31000,220.0,Bajaj
82,Bajaj Discover 125cc,2012,4000,first owner,jaipur,65.0,12.5 ps,19900,125.0,Bajaj
83,Hero Splendor iSmart 100cc,2015,46453,first owner,bangalore,55.0,8.20 bhp,32100,100.0,Hero
84,Bajaj Pulsar 180cc,2010,9800,first owner,pali,65.0,15 bhp,20000,180.0,Bajaj
85,Bajaj Avenger Street 150,2016,13500,first owner,gurgaon,50.0,14.30 bhp,45000,150.0,Bajaj
86,Bajaj Discover 125cc,2012,19000,first owner,jaipur,65.0,12.5 ps,19500,125.0,Bajaj
87,Bajaj V15 150cc POWER UP,2019,26000,first owner,naihati,57.0,11.80 bhp,47000,150.0,Bajaj
88,Bajaj Avenger Street 150,2017,25000,first owner,ahmedabad,45.0,14.30 bhp,45000,150.0,Bajaj
89,Bajaj V15 150cc,2017,35000,first owner,delhi,57.0,11.80 bhp,28000,150.0,Bajaj
90,Bajaj Avenger Street 220,2016,39000,second owner,hyderabad,53.0,19 bhp,46000,220.0,Bajaj
91,Bajaj V15 150cc,2017,15200,first owner,gurgaon,57.0,11.80 bhp,32000,150.0,Bajaj
92,Bajaj Avenger 220cc,2013,13800,first owner,ahmedabad,40.0,19 bhp,45000,220.0,Bajaj
93,Hero HF Deluxe iBS Black self Alloy 100cc,2019,14000,first owner,delhi,55.0,6.15kW (8.36 Ps),48500,100.0,Hero
94,Bajaj Pulsar 200 NS 200cc,2014,12000,first owner,mumbai,40.0,24.2 BHP,44200,200.0,Bajaj
95,Hero Passion Pro 100cc,2016,15000,first owner,gurgaon,5.0,8.2 Bhp,30000,100.0,Hero
96,Hero Passion Pro 100cc,2007,81455,first owner,varanasi,5.0,8.2 Bhp,20000,100.0,Hero
97,Hero Passion Pro 100cc,2015,42344,first owner,bangalore,84.0,8.2 Bhp,32200,100.0,Hero
98,Hero Splendor 100cc,2001,30110,first owner,bangalore,45.0,7.44bhp,25000,100.0,Hero
99,Hero Karizma R 223cc,2011,40000,first owner,mumbai,40.0,17 bhp,35000,223.0,Hero
100,Bajaj Discover 125cc,2014,26000,first owner,jaipur,65.0,12.5 ps,22500,125.0,Bajaj
101,Hero Hunk Rear Disc 150cc,2012,29000,first owner,mumbai,55.0,14 bhp,30000,150.0,Hero
102,Bajaj Pulsar 180cc,2016,38150,first owner,mumbai,65.0,17 bhp,45000,180.0,Bajaj
103,Suzuki Gixxer 150cc,2015,60000,first owner,hyderabad,63.0,14 bhp,45000,150.0,Suzuki
104,Hero Honda Splendor 100cc,2011,18895,first owner,kolkata,52.5,6.15kW (8.36 Ps),20000,100.0,Hero
105,Hero Passion Pro 100cc,2016,25678,first owner,bangalore,5.0,8.2 Bhp,35400,100.0,Hero
106,Hero Karizma ZMR 223cc,2014,41000,second owner,guntur,48.0,20 bhp,38000,223.0,Hero
107,Bajaj Avenger 220cc,2014,22000,second owner,mumbai,40.0,19 bhp,36814,220.0,Bajaj
108,Bajaj Avenger 220cc,2014,14000,first owner,mumbai,40.0,19 bhp,35000,220.0,Bajaj
109,Hero HF Deluxe 100cc,2018,6750,first owner,ahmednagar,55.0,6.15kW (8.36 Ps),23500,100.0,Hero
110,Bajaj V15 150cc,2016,27000,second owner,pune,57.0,11.80 bhp,45000,150.0,Bajaj
111,Bajaj Avenger 220cc,2015,20000,first owner,delhi,40.0,19 bhp,42000,220.0,Bajaj
112,Bajaj Avenger Street 150,2016,22459,first owner,thane,50.0,14.30 bhp,48000,150.0,Bajaj
113,Yamaha FZs 150cc,2010,58000,second owner,bangalore,45.0,13 bhp,35000,150.0,Yamaha
114,Hero Achiever Disc 150cc,2019,6750,first owner,ahmednagar,50.0,13 bhp,23500,150.0,Hero
115,Hero HF Deluxe Eco 100cc,2018,7200,first owner,ahmednagar,65.0,8.10 bhp,22500,100.0,Hero
116,Hero HF Deluxe Eco 100cc,2018,6750,first owner,ahmedabad,65.0,8.10 bhp,23500,100.0,Hero
117,Hero HF Deluxe Eco 100cc,2018,6750,first owner,ahmednagar,65.0,8.10 bhp,22500,100.0,Hero
118,Bajaj Pulsar 180cc,2012,55000,first owner,jaipur,45.0,17 bhp,26000,180.0,Bajaj
119,Hero Glamour 125cc,2018,50000,first owner,hyderabad,50.0,6.72 KW (9.1 Ps),48000,125.0,Hero
120,Hero Glamour Disc 125cc,2015,46000,first owner,hyderabad,55.0,8.90 bhp,42000,125.0,Hero
121,Royal Enfield Classic 350cc,2016,12500,first owner,chandrapur,35.0,19.80 bhp,41250,350.0,Royal Enfield
122,Hero HF Deluxe self Alloy 100cc,2018,14322,first owner,gurgaon,55.0,6.15kW (8.36 Ps),32000,100.0,Hero
123,Hero Super Splendor 125cc i3s,2019,12500,first owner,bangalore,75.0,9 bhp,25000,125.0,Hero
124,Bajaj Pulsar 180cc,2011,24300,first owner,bangalore,65.0,15 bhp,35000,180.0,Bajaj
125,Hero Passion Pro 100cc,2013,35000,first owner,delhi,5.0,8.2 Bhp,22200,100.0,Hero
126,Bajaj Pulsar 220cc,2010,25000,first owner,gurgaon,38.0,21 bhp,22000,220.0,Bajaj
